companies,Total,Average,Number
Fairplay Pictures,0.0,,0
Fair and Square Productions,0.0,,0
Fair Harbor Productions,0.0,,0
Fadsin Cinema Associates,0.0,,0
Fado Filmes,0.0,,0
Fading of the Cries,0.0,,0
Fader Films,0.0,,0
Fade In Films,0.0,,0
Fernwood-Reynard,0.0,,0
Ferns Entertainment,0.0,,0
Fadak Film,0.0,,0
Fennada-Filmi,0.0,,0
"Feature Film Project, The",0.0,,0
Feast Productions Limited,0.0,,0
Fear Factory,0.0,,0
"Fay, Richwite",0.0,,0
Fawcett-Majors Productions,0.0,,0
Favourite Films NV,0.0,,0
Favorite Films,0.0,,0
Favorit Film,0.0,,0
FauxPop Media,0.0,,0
Federighi Films,0.0,,0
Fedora Films,0.0,,0
Fennada-Filmi Oy,0.0,,0
Feel Films,0.0,,0
Fennada-Film,0.0,,0
February Films,0.0,,0
Fengler Films,0.0,,0
Fender Film,0.0,,0
Felt Soul Media,0.0,,0
Fella Films,0.0,,0
Felix Media,0.0,,0
Felicia Film,0.0,,0
Fel-UK,0.0,,0
Feifer Worldwide,0.0,,0
Feelmax,0.0,,0
Feelin' Guilty,0.0,,0
Feelgood Pictures,0.0,,0
Feelgood Films,0.0,,0
Feelgood Fiction,0.0,,0
Feature Productions,0.0,,0
Fechner Audiovisuel,0.0,,0
Fernlyn,0.0,,0
Fido Features,0.0,,0
Fernando Trueba Producciones Cinematográficas S.A.,0.0,,0
Fernando Trueba Producciones Cinematográficas,0.0,,0
Fernando Colomo Producciones Cinematográficas S.L.,0.0,,0
Few,0.0,,0
FiGa Films,0.0,,0
Ferdos Films,0.0,,0
Fiction Cinematografica S.p.a.,0.0,,0
Field Recordings,0.0,,0
Field Productions,0.0,,0
Field Guide Films,0.0,,0
Fidès,0.0,,0
Fiducial Resource Industrial,0.0,,0
Fido Film AB,0.0,,0
Fides Films,0.0,,0
Federal Agency for Culture and Cinematograph,0.0,,0
Fidelity-Vogue Pictures Inc.,0.0,,0
Fidelity Productions,0.0,,0
Fidelity Pictures Corporation,0.0,,0
Fidelity Films,0.0,,0
Fidelio,0.0,,0
Fideline Films,0.0,,0
Fida Cinematografica,0.0,,0
Fern Gully Tales,0.0,,0
Fennica-filmi,0.0,,0
Faustus Bidgood Production,0.0,,0
Federiz,0.0,,0
Federation Entertainment,0.0,,0
Federal Films (II),0.0,,0
Herzog,0.0,,0
Hertlandy Productions,0.0,,0
Galiardo Producciones,0.0,,0
Hairy Productions,0.0,,0
Goldig Film Company,0.0,,0
Goldfish Pictures,0.0,,0
Goldfinch Pictures,0.0,,0
Golden Village,0.0,,0
"Golden Tripod Film Co., Hong Kong",0.0,,0
Golden Swan,0.0,,0
Golden Sun Films,0.0,,0
Golden Sun,0.0,,0
Golden State Productions,0.0,,0
Goldbar Entertainment,0.0,,0
Gold-Gems Ltd.,0.0,,0
Globus-film,0.0,,0
Go2 Digital Media,0.0,,0
Go Paterson Films Pty Ltd,0.0,,0
Go Insane Films,0.0,,0
Go Go Film Productions,0.0,,0
Go Fish Pictures,0.0,,0
Go Films,0.0,,0
Go Faster Stripe,0.0,,0
Gnu Films,0.0,,0
Gloucester Place Films,0.0,,0
Glorieta Films,0.0,,0
Gloriamundi Producciones,0.0,,0
Gloria-Film GmbH,0.0,,0
Gloria Swanson Pictures,0.0,,0
Gloria Productions Inc.,0.0,,0
Gloria Productions,0.0,,0
Gloria Films,0.0,,0
Go-Valley,0.0,,0
Goldkind Filmproduktion,0.0,,0
Goldmine Pictures,0.0,,0
Goldmine Productions,0.0,,0
Golden Fish Pictures,0.0,,0
Gico Cinematografica S.r.L.,0.0,,0
Gibran National Committee,0.0,,0
Gibraltar Productions,0.0,,0
Globomedia Cine,0.0,,0
Globus Film Studio,0.0,,0
Goldwyn Entertainment Company,0.0,,0
Golden Princess Film Production Ltd.,0.0,,0
Golden ParaShoot Entertainment,0.0,,0
Golden Network Asia,0.0,,0
Golden Horse Productions,0.0,,0
Golden Horn Films,0.0,,0
Golden Harvest Company Ltd.,0.0,,0
Golden Gate Pictures,0.0,,0
Golden Film,0.0,,0
Goldport Productions,0.0,,0
Golden Effects Pictures,0.0,,0
Golden Eagle Features,0.0,,0
Golden Eagle,0.0,,0
Golden Circle Productions,0.0,,0
Golden Chargers,0.0,,0
Goldeco Pictures,0.0,,0
Goldcrest,0.0,,0
Golden Port Productions Ltd.,0.0,,0
Golden Ring Productions,0.0,,0
GoldApple Entertainment,0.0,,0
Golden Square Pictures,0.0,,0
Goldstreet Films,0.0,,0
Goldrush Entertainment,0.0,,0
Go2sho,0.0,,0
Gold Star Productions Ltd.,0.0,,0
GoHands,0.0,,0
Hanwha Entertainment Fund No. 1,0.0,,0
Hammond Entertainment,0.0,,0
Hanna Barbera Production,0.0,,0
Hannibal Classics,0.0,,0
Hammer The Movie,0.0,,0
Hannibal Films,0.0,,0
HarBel Productions,0.0,,0
Happy Pictures Culture Communication Co. Ltd.,0.0,,0
Happy Hour Films,0.0,,0
Happy Fiction,0.0,,0
Happy Endings A/S,0.0,,0
Happinet Corporation,0.0,,0
Hape-Film Company GmbH,0.0,,0
Haos Film,0.0,,0
Hanson Allen Films,0.0,,0
Hanauma Bay,0.0,,0
Hanson,0.0,,0
Hans Domnick Filmproduktion,0.0,,0
Hanover Films,0.0,,0
Hanns Eckelkamp Filmproduktion,0.0,,0
Hannover House,0.0,,0
Hammerton Productions,0.0,,0
Hammer Films,0.0,,0
Harbinger Media Partners,0.0,,0
Halas and Batchelor Cartoon Films,0.0,,0
Hakuhodo Inc.,0.0,,0
Hakuhodo,0.0,,0
Hakim,0.0,,0
Hakalax Productions,0.0,,0
Hamster Film,0.0,,0
Handbook Productions,0.0,,0
Gold Star Productions,0.0,,0
Goalpost Pictures,0.0,,0
Gold Lion Films,0.0,,0
Gold Label Entertainment,0.0,,0
GoingLong Productions,0.0,,0
Goi-Goi Productions,0.0,,0
Goff-Kellam Productions,0.0,,0
Godwin-Willis,0.0,,0
Godmother Productions,0.0,,0
Godfather Entertainment,0.0,,0
Gobsmack,0.0,,0
Gobierno de la Ciudad de México,0.0,,0
Gobierno de Cantabria,0.0,,0
Gobernacion del Cesar,0.0,,0
Goat Man's Hill,0.0,,0
Greenlight Media AG,0.0,,0
Handle Productions,0.0,,0
Greenlight Productions,0.0,,0
Greenmachine Film,0.0,,0
Hanna-Barbera,0.0,,0
Hanmac Films,0.0,,0
Hanhwa Venture Capital,0.0,,0
Hanguk Munye Yeonghwa,0.0,,0
Hangman Film Company,0.0,,0
Hangar 14 Films,0.0,,0
Hang Phim Truyen,0.0,,0
Hanfgarn & Ufer Film und TV Produktion,0.0,,0
Handshake Productions,0.0,,0
Handprint Pictures and Essel,0.0,,0
Handmade International,0.0,,0
Gifted Films,0.0,,0
GigaPix Studios,0.0,,0
Gigi Films,0.0,,0
Great House Films,0.0,,0
Grandville Pictures,0.0,,0
Grandon Productions Ltd.,0.0,,0
Grand Productions (I),0.0,,0
Grand Productions,0.0,,0
Gravitas Ventures,0.0,,0
Gravity Pictures,0.0,,0
Greater China Media Entertainment,0.0,,0
Gray City,0.0,,0
Great Western Productions,0.0,,0
Great Southern Land Entertainment,0.0,,0
Great Movie Ventures,0.0,,0
Great Meadow Productions,0.0,,0
Great Maratha Entertainment Company India,0.0,,0
Great Highway Company,0.0,,0
Granit Films,0.0,,0
Great Earth Film Company,0.0,,0
Great British Films,0.0,,0
Greaser's Palace Ltd.,0.0,,0
Grazing Goat Pictures Pvt Ltd,0.0,,0
Grayscale Films,0.0,,0
Graymark Productions,0.0,,0
Gray-Film,0.0,,0
Gray Film,0.0,,0
Golem Distribución,0.0,,0
Goldwyn Pictures Corporation,0.0,,0
Heckerling-Caplan,0.0,,0
Glazier,0.0,,0
Glass Man Films,0.0,,0
Graniet Film BV,0.0,,0
Granite House Inc.,0.0,,0
Glaski Productions,0.0,,0
Green Tea Pictures,0.0,,0
Greater Union Organisation (GUO),0.0,,0
Green Productions,0.0,,0
Greenlawn Productions,0.0,,0
Greenhouse Media Investment,0.0,,0
Greengrass Productions,0.0,,0
Greener Grass,0.0,,0
GreeneStreet/SKE Films,0.0,,0
Greendale Productions,0.0,,0
GreenStreet Productions,0.0,,0
GreenStreet Films,0.0,,0
Green/Renzi,0.0,,0
Green/Epstein Productions,0.0,,0
Green Valley Entertainment,0.0,,0
Green Star Films,0.0,,0
Granny Was an Outlaw Productions,0.0,,0
Green Screen Productions,0.0,,0
Green Rose Pictures,0.0,,0
Greek Mythology Entertainment Company,0.0,,0
Greater Films Ltd.,0.0,,0
Grand Pictures,0.0,,0
Graviton Entertainment,0.0,,0
Gravitas Docufilms,0.0,,0
Gratwick Films,0.0,,0
Grasswood Media,0.0,,0
Grasshoppa,0.0,,0
Graphinica,0.0,,0
Graphic Films,0.0,,0
Granox Productions,0.0,,0
Glass City Films,0.0,,0
Glasgow Youth Theatre,0.0,,0
Gilded Halfwing,0.0,,0
Ghiznoz Productions,0.0,,0
Giant Screen Films,0.0,,0
Giant Films,0.0,,0
Giant Film Production,0.0,,0
Giant Ape Media,0.0,,0
Giallo Production,0.0,,0
Giai Phong Film Studio,0.0,,0
Giada Films,0.0,,0
Ghosts Media,0.0,,0
Ghostown Film Management,0.0,,0
Ghost Robot,0.0,,0
Ghost Pictures,0.0,,0
Ghost Orchid Films,0.0,,0
Ghost Limb Films,0.0,,0
Ghana Film Industry Corporation,0.0,,0
Giorgos Papalios Productions,0.0,,0
Geyzer Film Production,0.0,,0
Giant Flick Films,0.0,,0
Giasone,0.0,,0
Ginso Investment Corp,0.0,,0
Gibraltar Films,0.0,,0
Ginny Mule Pictures,0.0,,0
Gina Production,0.0,,0
Gin-iro no Kami no Agito Production Committee,0.0,,0
Gimages Développement,0.0,,0
Gimages 6,0.0,,0
Gimages 5,0.0,,0
Gimages 3,0.0,,0
Gimages 204,0.0,,0
Globosat / Telecine,0.0,,0
Giovine,0.0,,0
Glasgow Film Office,0.0,,0
Glendale,0.0,,0
Glace Bay Pictures,0.0,,0
Giv'en Films,0.0,,0
Git International Film,0.0,,0
Girls' Club Entertainment,0.0,,0
Girls Club Film Project,0.0,,0
Girl & Chocolate Skateboards,0.0,,0
Giraldi-Suarez-DiGiaimo Productions,0.0,,0
Giraffe Productions,0.0,,0
Giraff Film AB,0.0,,0
Girafa Filmes,0.0,,0
Glaz Entretenimento,0.0,,0
Glem Production,0.0,,0
Giovanni Addessi Produzione Cinematografica,0.0,,0
Globomedia / Antena 3 Films / Cangrejo Films,0.0,,0
Gleneagle Productions,0.0,,0
Globo Filme,0.0,,0
Globe Pictures Corp.,0.0,,0
Globe Films,0.0,,0
Globe Enterprises,0.0,,0
Global Universal Pictures,0.0,,0
Global United Media,0.0,,0
Global Productions,0.0,,0
Global Grassroots,0.0,,0
Global Empire Studios,0.0,,0
Global Emerging Markets (GEM),0.0,,0
Global Creative Studios,0.0,,0
Global Arts Productions,0.0,,0
Glenville,0.0,,0
Hajdu Film,0.0,,0
Haile Gerima,0.0,,0
Green Lions,0.0,,0
Hai Hui Entertainment,0.0,,0
Grindfist,0.0,,0
Group Hug Productions,0.0,,0
Gringo Films,0.0,,0
Group Film Productions Limited,0.0,,0
Group Film Productions,0.0,,0
"Group Entertainment, The",0.0,,0
Group Effort Films,0.0,,0
Group Dataciné,0.0,,0
Group 3,0.0,,0
Grosvenor Park Films LLP,0.0,,0
Grossbart Barnett Productions,0.0,,0
Gross-Weston Productions,0.0,,0
Gross-Krasne Productions,0.0,,0
Groparu.ro,0.0,,0
Grokenberger Film Produktion,0.0,,0
Grodfilm,0.0,,0
Grizly Films,0.0,,0
Gristmill,0.0,,0
Guide Company Films Inc.,0.0,,0
Guiding Star Productions,0.0,,0
Guild,0.0,,0
HFD Productions,0.0,,0
HE-Filmproduktion,0.0,,0
HDNM Entertainment,0.0,,0
HD Vision Studios,0.0,,0
HC Films,0.0,,0
HBO Česká republika,0.0,,0
HBO Sports,0.0,,0
HBO Polska,0.0,,0
Grimthorpe Film,0.0,,0
Greentrees Films,0.0,,0
Greenway Productions,0.0,,0
Group TAC,0.0,,0
Guerin-Adler-Scott Pictures,0.0,,0
Guerilla Merah Films,0.0,,0
Guerilla High Productions,0.0,,0
Guerilla Films,0.0,,0
Guercio-Hitzig,0.0,,0
Gudegast Braeden Productions,0.0,,0
Guardsman Films,0.0,,0
Guarav Arts,0.0,,0
Guarango,0.0,,0
Guangzhou Ying Ming Media Co.,0.0,,0
Guangxi Film Studio,0.0,,0
Guanaco,0.0,,0
Groupe Dziga Vertov,0.0,,0
HSI Tomorrow Film,0.0,,0
Gregorian Films,0.0,,0
Grindfest,0.0,,0
Grimm Pictures,0.0,,0
Griffin & Phoenix Productions,0.0,,0
Grid Animation,0.0,,0
Greyshack Films,0.0,,0
Greydon Clark Productions,0.0,,0
Greycat Films/Neo Modern Entertainment,0.0,,0
Grey Matter Entertainment,0.0,,0
Grey Films,0.0,,0
Grey City,0.0,,0
Greta Film AB,0.0,,0
Grenadier Films,0.0,,0
Gregory Ratoff Productions,0.0,,0
HBO NYC Productions,0.0,,0
HBO Independent Productions,0.0,,0
HB Filmes,0.0,,0
GötaFilm AB,0.0,,0
Gurian Entertainment,0.0,,0
Gunslinger,0.0,,0
Gunro,0.0,,0
Gunpowder Co.,0.0,,0
Gunman Productions,0.0,,0
Gunless Productions,0.0,,0
Gundersen Entertainment,0.0,,0
Gun for Hire Films,0.0,,0
Gummshoe Productions,0.0,,0
Gullane Filmes,0.0,,0
Guy A. Danella Productions,0.0,,0
Guy DVD Films,0.0,,0
Guy in the Sky Pictures,0.0,,0
H&H Creative Ventures,0.0,,0
Gus,0.0,,0
H Films,0.0,,0
H & J,0.0,,0
Güney Film,0.0,,0
Göteborgsdramat,0.0,,0
Göteborg Film Festival,0.0,,0
Gérard Mital Productions,0.0,,0
Gwenaud Productions,0.0,,0
Général Films,0.0,,0
Gémini Films,0.0,,0
Gädda Five,0.0,,0
Gávea Filmes,0.0,,0
Gynormous Pictures,0.0,,0
GyaO,0.0,,0
Guru Dutt Films Pvt. Ltd.,0.0,,0
Gus Productions,0.0,,0
HAMON HAFAKOT,0.0,,0
HP Yorkshire Limited,0.0,,0
HAL Films,0.0,,0
H5B5 Media AG,0.0,,0
H5,0.0,,0
H3 Films,0.0,,0
HEART-headed Productions,0.0,,0
HI-FI Motion Pictures,0.0,,0
Gullane Entretenimento S.A.,0.0,,0
HIFI Stereo 70 Kg,0.0,,0
HSI Productions,0.0,,0
HR. Boe & Co.,0.0,,0
HPS Productions,0.0,,0
HPLHS,0.0,,0
HPG Production,0.0,,0
HOT DOG PARTNERSHIP PRODUCTIONS,0.0,,0
Gustav Film,0.0,,0
HOT,0.0,,0
HOMEMADE FILMS,0.0,,0
HMS Projects,0.0,,0
HMR Films,0.0,,0
HLP,0.0,,0
HK Film Corporation,0.0,,0
HJB Filmproduktion,0.0,,0
HILT Productions,0.0,,0
H.L.S. Ltd.,0.0,,0
H.K.F. Productions,0.0,,0
H&V Entertainment,0.0,,0
H&M,0.0,,0
Gutenberghus,0.0,,0
Guerrilla Films,0.0,,0
Guest House Films,0.0,,0
Gugat Films,0.0,,0
HeLo,0.0,,0
Hazazah Pictures,0.0,,0
Hayashibara Group,0.0,,0
Haxan Entertainment,0.0,,0
Hawthorne Productions,0.0,,0
Hawthorn Productions,0.0,,0
Haworth Productions,0.0,,0
Hawkeye Pictures Inc.,0.0,,0
Hawaii Film Partners,0.0,,0
Havenwood Media,0.0,,0
Have another Cherry,0.0,,0
Havas Images,0.0,,0
Haut et Court Distribution,0.0,,0
Haunted Mirror,0.0,,0
Headliner Productions,0.0,,0
He and She Films,0.0,,0
Hat Trick Productions,0.0,,0
Headmon Entertainment & Productions,0.0,,0
Hecht-Hill-Lancaster Productions,0.0,,0
Hecht Co.,0.0,,0
Heavy Productions,0.0,,0
Heavy Lifting,0.0,,0
Heavy Duty Entertainment,0.0,,0
Heaven Pictures (Beijing) The Movies Co.,0.0,,0
Heathrow Productions,0.0,,0
Heath Productions,0.0,,0
Heat GBR,0.0,,0
Heartland Motion Pictures,0.0,,0
Heart of Europe Prague K Productions,0.0,,0
Hazeldine Films,0.0,,0
Head First Productions,0.0,,0
Headstrong,0.0,,0
Hallmark Productions,0.0,,0
Hai Hui Entertainement,0.0,,0
Hahn Film AG,0.0,,0
Hagafilm,0.0,,0
Hackybox Pictures,0.0,,0
Hacker Productions,0.0,,0
Hacienda Film Co.,0.0,,0
Hachette-Fox Productions,0.0,,0
Halalywood Entertainment,0.0,,0
Halburt Productions,0.0,,0
Halt Productions,0.0,,0
Halcyon International Pictures,0.0,,0
Halomedia Oy,0.0,,0
Hallow Films,0.0,,0
Hallmark Hall of Fame Productions,0.0,,0
Greenroom Entertainment,0.0,,0
Hallmark Hall of Fame,0.0,,0
Hallmark Entertainment,0.0,,0
Hallmark,0.0,,0
Hallelujah-Film GmbH,0.0,,0
Hallelujah Films,0.0,,0
Hallam Productions,0.0,,0
Hall Bartlett Productions,0.0,,0
Halifax Film Company,0.0,,0
Halicki Productions,0.0,,0
Halestorm entertainment,0.0,,0
Halcyon Productions,0.0,,0
Harbin,0.0,,0
Harbor Ventures,0.0,,0
Heard Well,0.0,,0
Heads Up Film,0.0,,0
Guadalupe Productions,0.0,,0
Grupo de Estudos e Realizações (GER),0.0,,0
Hart-Lunsford Pictures,0.0,,0
Hart Sharp Video,0.0,,0
Harry Sherman Productions,0.0,,0
Harry Reynolds Productions,0.0,,0
Harry Langdon Corporation,0.0,,0
Harry Colombo Production,0.0,,0
"Habitación Cerrada, La",0.0,,0
Habbekrats,0.0,,0
HUMAL Productions,0.0,,0
Gruzia-Film,0.0,,0
Gruppo Minerva International,0.0,,0
Gruppo Bema,0.0,,0
"Gruppe ""Johannisthal""",0.0,,0
Grupo Ukamau,0.0,,0
Haruki Kadokawa Films,0.0,,0
Grupo Novo de Cinema e TV,0.0,,0
Grupo Cine Liberación,0.0,,0
Grupo Cine Arte,0.0,,0
Grupo AZTECA,0.0,,0
Grupa Filmowa,0.0,,0
Growing Pains,0.0,,0
Grow Pictures,0.0,,0
Grovesnor Park Film,0.0,,0
Grove Media Finance,0.0,,0
Grovas-Oro Films,0.0,,0
Gruskoff-Venture-Linson,0.0,,0
Guacamole Films,0.0,,0
Group W,0.0,,0
Hartbreak Films,0.0,,0
Harun Farocki Filmproduktion,0.0,,0
Headquarters,0.0,,0
Hark Film,0.0,,0
Haunted Hospital Productions Inc.,0.0,,0
Hassen Brahiti / Studio Canal,0.0,,0
Harbour Productions Limited,0.0,,0
Harris-Kubrick Productions,0.0,,0
Harrington Thomas Productions,0.0,,0
Harrington Talents,0.0,,0
Harrell,0.0,,0
Harpo Productions,0.0,,0
Haroll Productions,0.0,,0
Harmonius Claptrap,0.0,,0
Harmonica Films,0.0,,0
Harlin/Selin Productions Oy,0.0,,0
Harlequin Productions Ltd,0.0,,0
Hargla Company,0.0,,0
Harvard Sensory Ethnography Lab,0.0,,0
HareBrained Pictures,0.0,,0
Hardy Pictures,0.0,,0
Hard Work Productions,0.0,,0
Harcourt Productions,0.0,,0
Harris / Fox Production,0.0,,0
Harris-Woods Productions,0.0,,0
Hassell Free Production,0.0,,0
Harristown Funding,0.0,,0
Haslund / Dencik Entertainment,0.0,,0
Harwood Hunt Productions,0.0,,0
Harvey Bernhard Productions,0.0,,0
Harvest Pictures,0.0,,0
Harvard University,0.0,,0
Green Non-Life Insurance Company,0.0,,0
Greek Television ET-1,0.0,,0
Herbert Wilcox Productions,0.0,,0
Innoform Media,0.0,,0
InCA Productions,0.0,,0
"In-Gear Film Production Co., Ltd.",0.0,,0
In-Cine Compañía Industrial Cinematográfica,0.0,,0
In The Dark,0.0,,0
In Film Praha,0.0,,0
In Extremis Images,0.0,,0
In Association with Productions,0.0,,0
Imágenes,0.0,,0
Imus Productions,0.0,,0
Impéria,0.0,,0
Incendiary,0.0,,0
Incendo Productions,0.0,,0
Independent Moving Productions Inc. (IMPinc.),0.0,,0
Incessant Barking Productions Inc.,0.0,,0
Independent Lens,0.0,,0
Independent International Pictures (I-I),0.0,,0
Independent Film GmbH,0.0,,0
Independent Film Fund/CINV,0.0,,0
Independent Film Centre,0.0,,0
Independent Film (USA),0.0,,0
Independent Film,0.0,,0
Independent Artists Filmproduktion,0.0,,0
Independent Artists,0.0,,0
Indelible Pictures,0.0,,0
"Indefatigable, Inc.",0.0,,0
Indeed films,0.0,,0
Indecom Cinema,0.0,,0
Incurably Curious,0.0,,0
Incognito Pictures,0.0,,0
InGenius Africa,0.0,,0
InPictures,0.0,,0
Inaudible Films,0.0,,0
IndustryWorks Distribution,0.0,,0
Independent Television Service,0.0,,0
Independent Sovereign Films,0.0,,0
Independent Productions,0.0,,0
Independent Production Company (IPC),0.0,,0
Indigo Pictures,0.0,,0
Indio Productions,0.0,,0
Independent Pictures,0.0,,0
Indira Productions,0.0,,0
Ineffable Pictures,0.0,,0
Inecom Entertainment Company,0.0,,0
Indéfilms 4,0.0,,0
Indy Entertainment,0.0,,0
IndustryWorks Pictures,0.0,,0
Industry Works Entertainment,0.0,,0
Inbracine Filmes,0.0,,0
Industrie Cinematografiche Italiane,0.0,,0
Industrial Entertainment,0.0,,0
Industrial City Films,0.0,,0
Industria Cinematografica Italiana (INCINE),0.0,,0
Indomina Productions,0.0,,0
Indochina Peace Committee (IPC) Films,0.0,,0
Indiz Film,0.0,,0
Individual Pictures,0.0,,0
Independent Producers,0.0,,0
Independent Partners,0.0,,0
Infafilm,0.0,,0
Incendiary Features,0.0,,0
Incei Film,0.0,,0
Inex Film,0.0,,0
Infinite Enterprises,0.0,,0
Imprint Pictures,0.0,,0
Infinity Prague,0.0,,0
Instituto Mexicano de Cinematografía (IMCINE),0.0,,0
Instituto Mexicano de Cinematografía,0.0,,0
Insight Productions,0.0,,0
Insight Media,0.0,,0
Infinite Frameworks Pte. Ltd.,0.0,,0
Inicia Films,0.0,,0
Inge Ivarsson Filmproduction,0.0,,0
Infra-Red Pictures,0.0,,0
Infowar Productions,0.0,,0
Informant Films,0.0,,0
InformAction Films,0.0,,0
Inforg-M&M Film Kft.,0.0,,0
Inforg Stúdió,0.0,,0
Infinity Pictures,0.0,,0
Instituto Português de Cinema (IPC),0.0,,0
Infinity Omnimedia,0.0,,0
Infinity Films,0.0,,0
Infinity Entertainment,0.0,,0
Infinitum Productions,0.0,,0
Infinite Lives Entertainment,0.0,,0
Infinite Justice Productions,0.0,,0
Ingram,0.0,,0
Initial A Entertainment,0.0,,0
Inside Track Productions,0.0,,0
Initial Film and Television,0.0,,0
Inside Track 1,0.0,,0
Inscription Films,0.0,,0
Inosan Productions,0.0,,0
Instituto Português da Arte Cinematográfica e Audiovisual (IPACA),0.0,,0
Instituto do Cinema e do Audiovisual (ICA),0.0,,0
"Institution, The",0.0,,0
Insignia Productions,0.0,,0
Institute of Culture,0.0,,0
Institut del Cinema Català (ICC),0.0,,0
Institut National de la Communication Audiovisuelle,0.0,,0
Institut National de l'Audiovisuel (INA),0.0,,0
Institut Català de les Indústries Culturals,0.0,,0
Instinctual VFX,0.0,,0
Instinct Entertainment,0.0,,0
Inspired Minority Pictures,0.0,,0
Inspire Pictures,0.0,,0
Inspirational Films,0.0,,0
Inspiration Studios,0.0,,0
Inspiration Pictures,0.0,,0
Insomnia Media Group,0.0,,0
Insignia Films,0.0,,0
"Instituto do Cinema, Audiovisual e Multimédia (ICAM)",0.0,,0
Institution Post,0.0,,0
Instituto Camões,0.0,,0
Insight Production Company,0.0,,0
Instituto Cubano del Arte e Industrias Cinematográficos (ICAIC),0.0,,0
InterCom,0.0,,0
Inter-American Productions,0.0,,0
Inter Planetary,0.0,,0
Inter Hemisphere,0.0,,0
Inter Allianz Film,0.0,,0
"Intellectual Reserve, Inc.",0.0,,0
Integrity Partners,0.0,,0
Integral Films,0.0,,0
Integrada,0.0,,0
Independent Television Service (ITVS),0.0,,0
Index Films,0.0,,0
India Take One Productions,0.0,,0
Hochschule für Fernsehen und Film München,0.0,,0
Hemisphere Pictures,0.0,,0
Hemisphere Entertainment,0.0,,0
Hemdale Group,0.0,,0
Helvey-Pray Production,0.0,,0
Helsinki Filmi Oy,0.0,,0
Hideaway Pictures,0.0,,0
Higashinippon Broadcasting Co.,0.0,,0
Hollywood International Pictures,0.0,,0
Hodgee Films,0.0,,0
Hock Films,0.0,,0
Hochschule für Gestaltung Karlsruhe,0.0,,0
Hochschule für Film und Fernsehen 'Konrad Wolf',0.0,,0
Hochschule für Fernsehen und Film München (HFF),0.0,,0
Hochschule für Fernsehen und Film (HFF),0.0,,0
Henceforth Pictures,0.0,,0
Hochschule für Bildende Künste Hamburg,0.0,,0
Hoche Productions,0.0,,0
Hobohm Brothers,0.0,,0
Hobart Bosworth Productions,0.0,,0
Hoax Films,0.0,,0
Hitman's Run Productions,0.0,,0
Hitit,0.0,,0
Hitching Road Productions,0.0,,0
HitRecord Films,0.0,,0
Hodcarrier Films,0.0,,0
Hofmann & Voges Entertainment,0.0,,0
Hit Entertainment,0.0,,0
Hok Foo Yau Haan Gung Shut,0.0,,0
Hemmings,0.0,,0
Hennepin Studios,0.0,,0
Hollywood Films,0.0,,0
Helicopter Film Services,0.0,,0
Herald Productions (II),0.0,,0
Hiding in the Attic,0.0,,0
Hello Please,0.0,,0
Heller Highwater Productions,0.0,,0
Hellenic Radio & Television (ERT),0.0,,0
Hellenic Culture Organization,0.0,,0
Hellbound Productions,0.0,,0
Hell's Kitchen International,0.0,,0
Helkon Media AG,0.0,,0
Helkon Media,0.0,,0
Helios Productions (II),0.0,,0
Helios Productions,0.0,,0
Heliopolis,0.0,,0
Helgeland Film,0.0,,0
Henny Porten Filmproduktion,0.0,,0
Helfgott-Turner Productions,0.0,,0
Helen Gardner Picture Players,0.0,,0
Heimatfilm,0.0,,0
Hellhound Productions,0.0,,0
Helma Sanders-Brahms Filmproduktion,0.0,,0
Herald Pictures,0.0,,0
Helpern / Meltzer,0.0,,0
Her Best Move LLC,0.0,,0
Hepworth,0.0,,0
Hepp Film,0.0,,0
Henry S. Kesler Productions,0.0,,0
Henry Halstead Productions,0.0,,0
Henry G. Saperstein Enterprises Inc.,0.0,,0
Hollywood House of Horror,0.0,,0
Hollytubs,0.0,,0
Indian Film Company,0.0,,0
Hill-O'Connor Television,0.0,,0
Historias Cinematograficas Cinemania,0.0,,0
Highway One Pictures,0.0,,0
Historia Films,0.0,,0
Historia,0.0,,0
Hispamer Films,0.0,,0
Hisa-Film,0.0,,0
Hirschberg Productions,0.0,,0
Hiroshima Telecasting (HTV),0.0,,0
Hipgnosis Ltd.,0.0,,0
Hillin Entertainment,0.0,,0
Hiller Productions,0.0,,0
Hillbilly Television,0.0,,0
Hill/Mandelker Films,0.0,,0
Hill-Hecht-Lancaster Productions,0.0,,0
Highland Park Classics,0.0,,0
Hill's Production Services,0.0,,0
Highway Productions,0.0,,0
ICAA,0.0,,0
ICE 3,0.0,,0
Getty & Fromkess Corporation,0.0,,0
Indigo Productions,0.0,,0
Indifferent Entertainment,0.0,,0
Indiesyndicate Productions,0.0,,0
Indiepelago Films,0.0,,0
IndieVest Pictures,0.0,,0
IndiePix Studios,0.0,,0
Indie Melbourne Productions,0.0,,0
Indie Dandy Productions,0.0,,0
Highroad,0.0,,0
High Bar Productions,0.0,,0
Holly Wiersma Productions,0.0,,0
Higgins-Messick-Wayne,0.0,,0
Holly Hill Productions,0.0,,0
Hollandia Filmproductions,0.0,,0
Holland Harbour Productions,0.0,,0
Holiday Film Productions Ltd.,0.0,,0
Holiday Cinematografica,0.0,,0
Hole in 1 Productions,0.0,,0
Holding Pictures,0.0,,0
Holdean,0.0,,0
Hold It Now Films,0.0,,0
Hokkaido Shinbun Press,0.0,,0
